Date,KCalories,Fat..g.,X.Of.Fat..Saturated.Fat..g..,X.Of.Fat..Polyunsaturated.Fat..g..,X.Of.Fat..Monounsaturated.Fat..g..,X.Of.Fat..Trans.Fat..g..,Carbohydrates..g.,X.Of.Carbs..Fiber..g..,X.Of.Carbs..Sugar..g..,Protein..g.,Cholesterol..mg.,Sodium..mg.,Potassium..mg.,Vitamin.A,Vitamin.C,Calcium,Iron,Morning.Weight..lbs.,ExerciseHours,fat.percent,carb.percent,protein.percent,total.percent
11/5/2017,3408,265.2,104.4,45.1,38.1,0,76.9,30.6,13.8,203.1,1250,6082,2310,423,374,387,161,,1,0.680620509,0.087715296,0.231664195,1.02899061
11/6/2017,3151,258.1,104.7,35.1,39,1.9,75.2,26.2,11.4,145,1189,3371,3553,170,389,295,122,,1,0.72506789,0.093891438,0.181040672,1.016724849
11/7/2017,3394,274.6,101.1,37.3,52.3,1.9,71.1,32.2,14.3,177.7,1205,3878,2823,328,293,437,145,,0,0.712917556,0.082040039,0.205042405,1.021390689
11/8/2017,2444,176.3,62,35.7,27.7,0,70.2,32.5,23.2,153.6,1080,3784,3520,248,659,214,116,,0,0.639308594,0.113139127,0.247552278,1.015507365
11/9/2017,2612,209.3,89.1,34.1,18.9,0,68.6,24.3,16.8,127.7,1089,2868,2345,183,260,298,117,,0,0.705796396,0.102813893,0.191389711,1.021784074
11/10/2017,2622,197.1,85.3,35,33.8,2.1,57.2,29,13.6,154.6,1126,2570,2938,256,312,227,129,,0,0.676776926,0.087291595,0.235931479,0.999656751
11/11/2017,3015,217.3,85.9,36.9,33.3,0.2,62.6,30.3,19.1,208.5,1208,4127,3669,188,319,306,133,,1.5,0.643301207,0.082365712,0.274333081,1.008325041
11/12/2017,3067,217.2,80.8,34.9,23.4,0,79.8,29.9,16.2,203.5,1222,4110,2836,292,393,309,125,,1,0.633031088,0.103367876,0.263601036,1.006847082
11/13/2017,2854,222.2,67.9,34.9,30.5,0,68.5,30.3,11.4,153,1149,3617,1962,226,423,205,110,,1,0.692979416,0.094947675,0.212072909,1.011142256
11/14/2017,2606,191.3,55.9,38.5,33.2,1.9,53.4,23.6,12.3,170.4,1116,4680,2766,344,322,263,133,,0,0.657915855,0.081623295,0.260460851,1.004182655
11/15/2017,2254,172.5,70.5,36.3,9.8,0,41.5,21.1,3.7,131.3,1645,2967,1860,213,342,303,113,,0,0.691937425,0.073984936,0.23407764,0.995430346
11/16/2017,1419,103.3,52.5,0.7,2,0,51.3,11,6.3,56.3,285,4065,1200,89,175,142,35,,0,0.68355268,0.150871259,0.165576061,0.958491896
11/17/2017,3376,259.8,102.9,40.8,34.5,2.3,70.9,28.8,23.9,181.9,1116,4065,2630,284,360,391,152,,1,0.698095181,0.084671882,0.217232937,0.992120853
11/18/2017,3276,249.6,93,45,59.2,0,99.2,39,19.6,169.5,1133,5481,3508,250,797,481,154,,1.5,0.676382031,0.119474889,0.204143081,1.013797314
11/19/2017,3433,264,95.6,38.9,42.2,3.5,83.4,33,20.1,190.8,1326,3383,3495,203,448,312,161,,1,0.684174153,0.096060815,0.219765031,1.011593359
11/21/2017,3175,256.6,79,46.9,63.2,0,74.1,33.3,14.4,158,1024,3575,2564,165,340,322,152,,0,0.713262092,0.091543641,0.195194268,1.019779528
11/22/2017,3123,233.4,81,36.9,37.3,0,88.3,37.8,31.3,182.4,979,4441,3362,210,635,364,124,,0,0.659860526,0.110950556,0.229188918,1.019340378
11/23/2017,3037,255,72.2,54.3,54.7,0,84.8,37.2,22.1,134.1,1030,5520,2776,879,736,425,147,,0.5,0.723837759,0.106982905,0.169179335,1.04399078
11/24/2017,3326,264,88,39.9,31.8,0,62.6,35.9,15.7,185.8,1915,5888,2287,433,527,416,164,,0,0.705128205,0.074311491,0.220560304,1.013108839
11/25/2017,3187,225.4,102.9,35.9,27.6,0,63.7,27.6,11.3,233.5,1436,5259,2274,733,284,477,159,,1.5,0.630509107,0.079194381,0.290296513,1.009538751
11/26/2017,3542,280.7,87.2,34,30.6,1.9,70.5,32.5,15.9,195.6,1163,3705,2862,204,311,348,174,,1,0.70356755,0.078536219,0.217896232,1.013749294
11/27/2017,2736,227.7,78.6,43.6,25.7,1.6,60.8,24.4,6.1,126.5,1101,2953,2862,521,286,324,137,,0,0.732285153,0.086903698,0.180811149,1.022843567
11/28/2017,3000,229.2,100.8,47.9,13.1,0,64.4,26,10.6,170.1,1231,3376,2513,306,259,279,108,,0,0.687416689,0.085843775,0.226739536,1.000266667
11/29/2017,2998,244.4,92.2,38.2,43.8,2.8,52,21,5.9,161.1,1313,2738,2309,149,305,249,125,,1.5,0.720707733,0.068152031,0.211140236,1.018012008
11/30/2017,3461,299.4,137.1,49.1,30.9,0,42.2,24.5,6,159.5,1577,6836,2463,321,285,321,123,,0,0.769577883,0.048209288,0.182212829,1.011672927
12/1/2017,3128,231.2,81.3,38.9,37.2,1.9,51.4,27.8,6.5,211.3,1375,3624,4093,254,495,286,149,,0,0.664452676,0.06565334,0.269893984,1.001150895
12/2/2017,1841,137.4,50,7,44.4,1.9,36.8,16.7,8.5,118.6,383,1734,1019,102,191,143,85,,1.5,0.665482725,0.079216446,0.255300829,1.009342749
12/3/2017,3063,231.4,85.8,48.3,15.4,0,71.3,31.1,14.3,186.3,1242,4304,3222,349,282,345,125,,1,0.669000964,0.091615805,0.239383232,1.016323865
12/4/2017,2502,198.8,74,32,11.6,0,62.2,26.7,4.5,127.3,1963,3211,2488,480,290,291,139,,1,0.702418342,0.097675879,0.199905779,1.018065548
12/5/2017,3131,261,94.3,43.7,37.9,0,85.5,30.5,23.4,122.8,1079,5603,2501,278,359,284,113,,0,0.738168563,0.107472818,0.15435862,1.016352603
12/6/2017,1045,90.3,36,31,5.8,0,18.5,15.5,0,43,760,1140,1090,134,250,175,70,,0,0.767639558,0.069897044,0.162463399,1.013110048
12/7/2017,2933,224.1,78.5,48.6,32.9,1.9,77.4,30.7,18.3,166.8,1158,1989,3187,278,449,207,117,,0,0.673714801,0.103417176,0.222868023,1.020695534
12/8/2017,2862,229.9,68.5,56,44.6,1.9,69.8,27.9,15.6,142.6,1516,2148,2718,262,379,207,143,,1,0.708911502,0.095659026,0.195429472,1.019811321
12/9/2017,1485,122.2,45.7,38.2,22.8,0,39.7,21.5,5,68.3,775,1612,1700,136,340,189,96,,0,0.717978848,0.103668886,0.178352265,1.031515152
12/10/2017,3164,240.4,75.9,47.4,36.8,0,82.5,41.3,24.3,184,1603,6706,3078,495,456,468,168,,1,0.669928164,0.102179837,0.227891999,1.020733249
12/11/2017,2935,245.4,97.1,43.8,34.3,0,59.5,24.2,14.4,137.7,1124,2672,1715,185,332,241,103,,0,0.736838593,0.079402149,0.183759258,1.021260647
12/12/2017,1924,134.6,49.8,43,10.3,0,47.7,21.7,13.9,127.4,751,1631,2963,189,357,170,99,,0,0.633643687,0.099801234,0.266555079,0.993659044
12/13/2017,2459,188.6,63.3,35.5,27,1.9,51,17.3,14.3,140.2,552,3245,3295,257,405,124,94,,0,0.689383478,0.082852733,0.227763788,1.001301342
12/14/2017,3154,268.1,106.4,30.7,31,1.9,65.5,19.9,14.8,132.3,709,3144,2255,213,320,191,101,,0,0.753066384,0.081770232,0.165163384,1.015884591
12/15/2017,2155,167.4,51.6,37.9,23.6,0,65.3,31.6,13.9,102.4,850,1910,2028,174,287,254,123,,1.5,0.69192615,0.119959585,0.188114265,1.010394432
12/16/2017,3997,294.6,112.6,34.7,34.3,1.9,64.7,24,8.8,254.7,1675,7103,3794,537,447,306,161,,0,0.674828201,0.065869178,0.259302622,0.98298724
12/17/2017,2862,208.1,69.9,63.1,20.3,0,49,32.4,8.7,204.1,2310,3827,2552,364,629,392,180,,0,0.649117943,0.067930544,0.282951513,1.00814116
12/18/2017,3119,246.1,97.1,44.6,31.5,0,87.2,23.7,21.8,151.4,1328,4400,2289,186,493,156,110,,0,0.698860947,0.110055848,0.191083204,1.016126964
12/19/2017,2678,191.6,69.9,41,14.6,0,57.2,23.1,11.6,199.6,1137,3896,2311,346,285,294,135,,0,0.626689926,0.083151621,0.290158453,1.027483196
12/20/2017,3583,266.7,111.5,36.2,58.6,3.8,94,22.7,26.8,201.7,1526,3317,3553,310,506,192,137,,0,0.669894784,0.104937066,0.22516815,1.00002791
12/21/2017,2578,193.2,60.7,40.2,49.8,1.9,74.5,29.9,24.1,140.1,941,2944,2931,245,446,241,135,,0,0.66949022,0.11473895,0.21577083,1.007447634
12/22/2017,3009,234.8,67.7,43.6,63.1,1.9,71.8,33.9,24.8,154.9,1041,4479,2920,438,471,365,154,,2,0.699735099,0.095099338,0.205165563,1.0036557
12/23/2017,3469,265.6,82,49.6,31.8,0,101.1,40.6,35.2,182.5,1105,3544,4003,416,725,276,154,,0,0.678166137,0.114729914,0.207103949,1.016085327
12/24/2017,2876,223,90.6,35,8.8,0,70.9,30.5,15.9,152.8,1123,5791,1899,241,266,299,108,,1,0.691639672,0.097732442,0.210627886,1.008970793
12/25/2017,3126,256.2,75.6,40.2,53.3,0,76.7,26.4,23.9,150.4,1551,5153,3155,185,412,293,123,,0,0.71737913,0.095451434,0.187169436,1.028214971
12/26/2017,3457,266.1,92.7,52.4,45.3,0,107.4,42,33.2,183.6,1473,5202,2645,544,313,503,152,,0,0.672932648,0.120711456,0.206355896,1.029476425
12/27/2017,2849,217.6,73.2,41.4,43.5,3.5,64.5,27.2,16,166.7,1124,3333,3101,180,316,292,132,,2,0.679245283,0.089483907,0.23127081,1.012004212
12/28/2017,3442,278.2,100.9,37.5,45.1,1.9,79.8,40.8,16,183.7,1128,3868,3611,533,514,447,170,,0,0.703749508,0.089718365,0.206532127,1.033643231
12/29/2017,3033,245.5,107.4,32,7.8,0,90.5,28.6,28.3,130.8,1249,3326,2841,217,296,245,96,,1,0.713962581,0.116974182,0.169063237,1.020342895
